mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5100714206695557,0.04151378207349769,0.022539329528808594,0.00619586927694768,0.7,300,4,0.1,1.0,"{'model__subsample': 0.7, 'model__n_estimators': 300, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.3333333333333333,0.42857142857142855,0.5806451612903226,0.45,0.3902439024390244,0.4365587651268218,0.08222640716253148,1
0.6983788490295411,0.1921739536011833,0.017255401611328124,0.0035605175758932355,1.0,200,5,0.01,0.9,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.9}",0.26666666666666666,0.5,0.38461538461538464,0.4375,0.30303030303030304,0.3783624708624708,0.08542004795458508,17
0.786647891998291,0.0981352855820975,0.01615433692932129,0.0029026608969591173,1.0,100,3,0.1,0.9,"{'model__subsample': 1.0, 'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",0.3333333333333333,0.4,0.3870967741935484,0.47368421052631576,0.3684210526315789,0.3925070741369553,0.04638277867591642,15
0.8484629154205322,0.11978683810890917,0.015603780746459961,0.0014686759802155698,0.9,100,5,0.03,0.9,"{'model__subsample': 0.9, 'model__n_estimators': 100, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.9}",0.3333333333333333,0.47368421052631576,0.5,0.5,0.29411764705882354,0.42022703818369445,0.08836199932240957,7
0.7003351211547851,0.30491263481785896,0.015169906616210937,0.0011810876915679283,1.0,200,3,0.03,0.9,"{'model__subsample': 1.0, 'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.9}",0.3333333333333333,0.43243243243243246,0.5,0.4444444444444444,0.29411764705882354,0.4008655714538067,0.07573498841956165,11
0.09823923110961914,0.016535332932795587,0.011217212677001953,0.0028009613013352695,0.9,300,3,0.01,0.8,"{'model__subsample': 0.9, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.8}",0.21428571428571427,0.42424242424242425,0.38461538461538464,0.48484848484848486,0.22857142857142856,0.34731268731268733,0.10772319465567354,18
0.10575318336486816,0.013391920867743734,0.012751007080078125,0.0021861037923822935,1.0,500,6,0.05,0.7,"{'model__subsample': 1.0, 'model__n_estimators': 500, 'model__max_depth': 6, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.7}",0.25806451612903225,0.4444444444444444,0.4827586206896552,0.5365853658536586,0.4,0.4243705894233581,0.09450493483758779,5
0.035808992385864255,0.0033619164249650444,0.011836910247802734,0.0027066022529646386,0.7,100,6,0.03,0.8,"{'model__subsample': 0.7, 'model__n_estimators': 100, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.2857142857142857,0.5142857142857142,0.41379310344827586,0.5,0.358974358974359,0.41455349248452694,0.08594973087381427,10
0.04450645446777344,0.0026550595726076496,0.011596441268920898,0.002328670387089404,0.8,200,2,0.03,0.8,"{'model__subsample': 0.8, 'model__n_estimators': 200, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.2857142857142857,0.5,0.37037037037037035,0.5,0.32432432432432434,0.39608179608179606,0.08898222937309656,12
0.056011295318603514,0.0023654019972445556,0.014824199676513671,0.0012612660517594657,0.9,300,3,0.01,1.0,"{'model__subsample': 0.9, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}",0.2222222222222222,0.5,0.4444444444444444,0.5,0.23529411764705882,0.3803921568627451,0.12552763602710376,16
